name,latitude,longitude
LA SUITE LOUNGE & BAR,45.415801,6.63173
AYOUNGUILA,45.414938,6.6363
ANNAPURNA,45.401057,6.637759
AU ROND POINT DES PISTES,45.415955,6.631043
CARLINA,45.413425,6.635479
COURCHENEIGE,45.405011,6.633811
CHALET ABRUZZES,45.412116,6.638773
CHALET BALTORO,45.412116,6.638773
CHALET HIMALAYACHE,45.409454,6.637545
CHALET PEARL,45.410026,6.637223
L EQUIPE,45.415345,6.635227
LA GRANDE ROCHE,45.413824,6.637738
LES CHALETS DE LA VIZELLE - ALASKA,45.407128,6.636745
LE 1850,45.416652,6.62791
Le 8611,45.412694,6.639218
LE BAR DES AIRELLES,45.41002,6.634111
LE MILK-PUB,45.41533,6.632513
LE PALACE DES NEIGES,45.410898,6.63284
LE PIANO BAR DU CHABICHOU,45.416023,6.630346
LE SAINT-JOSEPH,45.415258,6.6313
LE SAINT-ROCH,45.413681,6.63556
LE STANLEY'S BAR,45.402831,6.637893
LE STRATO,45.410322,6.638349
LE WHITE BAR,45.409418,6.633618
LES DUCS DE SAVOIE,45.410608,6.634723
LE PORTETTA,45.417525,6.654051
LE SEIZENA,45.417427,6.651369
LE CATERAIL,45.421596,6.643156
LES PEUPLIERS,45.431964,6.621891
MONTANA,45.410111,6.637164